,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
152809,76682,Peter Matthews,Male,26.0,188.0,84.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
152874,76719,Katrin Mattscherodt,Female,28.0,165.0,70.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold
152897,76735,Sofia Magdalena Mattsson,Female,26.0,164.0,56.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",Bronze
153094,76840,Amlie Simone Mauresmo,Female,25.0,175.0,69.0,France,FRA,2004 Summer,2004,Summer,Athina,Tennis,Tennis Women's Singles,Silver
153108,76846,Maurcio Camargo Lima,Male,36.0,184.0,81.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
153111,76849,Maurine Dorneles Gonalves,Female,22.0,159.0,51.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
153143,76871,Marie Mvers,Female,25.0,170.0,67.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Bronze
153222,76898,Philipp Max,Male,22.0,177.0,76.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Silver
153321,76947,Misty Erie May-Treanor,Female,27.0,175.0,72.0,United States-1,USA,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
153322,76947,Misty Erie May-Treanor,Female,31.0,175.0,72.0,United States-1,USA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
153323,76947,Misty Erie May-Treanor,Female,34.0,175.0,72.0,United States-1,USA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
153356,76966,"Andria ""Maycon"" dos Santos",Female,27.0,155.0,56.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
153357,76966,"Andria ""Maycon"" dos Santos",Female,31.0,155.0,56.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
153402,76987,Kvin Mayer,Male,24.0,186.0,77.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Silver
153410,76991,Matthias Mayer,Male,23.0,179.0,87.0,Austria,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Downhill,Gold
153432,77002,Travis Mayer,Male,19.0,178.0,68.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Men's Moguls,Silver
153462,77015,Viktor Viktorovich Maygurov,Male,33.0,170.0,70.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 20 kilometres,Bronze
153570,77077,Michael John Maze,Male,22.0,185.0,76.0,Denmark,DEN,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Doubles,Bronze
153579,77079,"Klementina ""Tina"" Maze",Female,26.0,172.0,68.0,Slovenia,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Super G,Silver
